<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛУКОЙЛ;W;20100111;000000;1744;1771;1698.6;1731.95;9862790;0
ЛУКОЙЛ;W;20100118;000000;1720;1781.84;1640;1675.99;11589860;0
ЛУКОЙЛ;W;20100125;000000;1656.75;1689.5;1598.5;1686.73;12051294;0
ЛУКОЙЛ;W;20100201;000000;1670;1733.38;1600.02;1617.04;11357620;0
ЛУКОЙЛ;W;20100208;000000;1616.24;1634.61;1515;1517;12100782;0
ЛУКОЙЛ;W;20100215;000000;1518;1595.1;1515.11;1589.88;9668501;0
ЛУКОЙЛ;W;20100222;000000;1579;1589.5;1530.77;1574;5050155;0
ЛУКОЙЛ;W;20100301;000000;1590;1650.23;1571;1641.86;10705275;0
ЛУКОЙЛ;W;20100308;000000;1634.12;1639.47;1566.04;1603.66;9848673;0
ЛУКОЙЛ;W;20100315;000000;1595;1727.41;1586.3;1688.25;15877914;0
ЛУКОЙЛ;W;20100322;000000;1670.5;1719.03;1622.5;1646;15875567;0
ЛУКОЙЛ;W;20100329;000000;1645;1713.49;1636.94;1701;7874175;0
ЛУКОЙЛ;W;20100405;000000;1712.02;1777;1693.61;1740.06;10642954;0
ЛУКОЙЛ;W;20100412;000000;1750.01;1772.15;1715.22;1730;9808402;0
ЛУКОЙЛ;W;20100419;000000;1707;1714;1667.25;1702.89;10400041;0
ЛУКОЙЛ;W;20100426;000000;1716;1729;1665;1670.48;8843286;0
ЛУКОЙЛ;W;20100503;000000;1672.74;1687.47;1590;1600.02;8666936;0
ЛУКОЙЛ;W;20100510;000000;1615;1652;1584.01;1589.96;8280648;0
ЛУКОЙЛ;W;20100517;000000;1572;1604;1450;1474.93;12134907;0
ЛУКОЙЛ;W;20100524;000000;1485;1515.96;1400.01;1476.78;10094943;0
ЛУКОЙЛ;W;20100531;000000;1484.62;1653;1474;1621.97;12356212;0
ЛУКОЙЛ;W;20100607;000000;1572;1690;1570.15;1680;13488956;0
ЛУКОЙЛ;W;20100614;000000;1674.78;1734;1635;1653.11;10716564;0
ЛУКОЙЛ;W;20100621;000000;1683.06;1723.89;1670.43;1701.34;8337762;0
ЛУКОЙЛ;W;20100628;000000;1710;1725;1546.3;1586.4;9426297;0
ЛУКОЙЛ;W;20100705;000000;1580;1628;1573.23;1591.94;5953447;0
ЛУКОЙЛ;W;20100712;000000;1591;1674;1581.12;1592;6321156;0
ЛУКОЙЛ;W;20100719;000000;1587.52;1690;1576;1680;5960764;0
ЛУКОЙЛ;W;20100726;000000;1690;1782.59;1675.2;1720;11006696;0
ЛУКОЙЛ;W;20100802;000000;1740;1749.75;1677.01;1696;7392088;0
ЛУКОЙЛ;W;20100809;000000;1707.57;1724.9;1647.02;1650.09;6418355;0
ЛУКОЙЛ;W;20100816;000000;1662.63;1675.2;1621;1645.87;6088449;0
ЛУКОЙЛ;W;20100823;000000;1646.94;1673.99;1625;1668;4938610;0
ЛУКОЙЛ;W;20100830;000000;1680;1686.92;1616.77;1674.01;6001500;0
ЛУКОЙЛ;W;20100906;000000;1680;1723.89;1655.19;1713;5095045;0
ЛУКОЙЛ;W;20100913;000000;1726.8;1739.75;1690.32;1702;5894730;0
ЛУКОЙЛ;W;20100920;000000;1705.93;1814.94;1703.03;1802;11083387;0
ЛУКОЙЛ;W;20100927;000000;1820;1821;1692;1749;11997346;0
ЛУКОЙЛ;W;20101004;000000;1750;1784;1714.02;1728.5;7121731;0
ЛУКОЙЛ;W;20101011;000000;1740;1826.7;1731.5;1785;8270091;0
ЛУКОЙЛ;W;20101018;000000;1771.15;1792.99;1726.69;1735;7645231;0
ЛУКОЙЛ;W;20101025;000000;1750.4;1756.8;1706.21;1734.13;5746453;0
ЛУКОЙЛ;W;20101101;000000;1738.5;1776;1730.1;1754.88;3406145;0
ЛУКОЙЛ;W;20101108;000000;1777.77;1802.58;1727.27;1731.1;6674899;0
ЛУКОЙЛ;W;20101115;000000;1739;1763;1710;1745.64;6743007;0
ЛУКОЙЛ;W;20101122;000000;1746.5;1760.23;1691;1713.35;7983827;0
ЛУКОЙЛ;W;20101129;000000;1717.53;1835.07;1680.01;1812;12711777;0
ЛУКОЙЛ;W;20101206;000000;1818;1874;1747;1770;13064133;0
ЛУКОЙЛ;W;20101213;000000;1776.99;1787;1728;1761.9;9025941;0
ЛУКОЙЛ;W;20101220;000000;1761;1768.5;1736.01;1752;5579349;0
ЛУКОЙЛ;W;20101227;000000;1748;1753.53;1729.1;1742;2692878;0
ЛУКОЙЛ;W;20110110;000000;1753.53;1916.76;1753.53;1893;11650112;0
ЛУКОЙЛ;W;20110117;000000;1893;1947;1875.16;1931;10903652;0
ЛУКОЙЛ;W;20110124;000000;1932.05;1932.99;1844;1849.05;10915016;0
ЛУКОЙЛ;W;20110131;000000;1835;1981.57;1813.88;1965;13401631;0
ЛУКОЙЛ;W;20110207;000000;1969.99;1980.98;1880.19;1932.86;9629015;0
ЛУКОЙЛ;W;20110214;000000;1940.4;1943.7;1884;1923.17;6712561;0
ЛУКОЙЛ;W;20110221;000000;1924.13;2019.18;1916;2006.01;10008395;0
ЛУКОЙЛ;W;20110228;000000;2003.61;2068.7;1991.23;2065.5;10384478;0
ЛУКОЙЛ;W;20110307;000000;2075;2090;1970.2;1991.5;7399556;0
ЛУКОЙЛ;W;20110314;000000;1980.1;2023;1921.9;2012;13905354;0
ЛУКОЙЛ;W;20110321;000000;2028.9;2051;1958.6;2046.3;10481686;0
ЛУКОЙЛ;W;20110328;000000;2044.6;2065.8;1976.7;2057;10070957;0
ЛУКОЙЛ;W;20110404;000000;2062.3;2084.1;2027.2;2047.1;10977739;0
ЛУКОЙЛ;W;20110411;000000;2050;2054.9;1938.1;1965;9116349;0
ЛУКОЙЛ;W;20110418;000000;1959.8;1990;1883.1;1954.1;8416394;0
ЛУКОЙЛ;W;20110425;000000;1960;1984.3;1883;1895.1;7701349;0
ЛУКОЙЛ;W;20110502;000000;1888.5;1909.9;1773.6;1863.5;8737340;0
ЛУКОЙЛ;W;20110509;000000;1823.1;1850;1715;1733.4;10295546;0
ЛУКОЙЛ;W;20110516;000000;1716.2;1768.7;1697.1;1711.2;9326030;0
ЛУКОЙЛ;W;20110523;000000;1695;1766.3;1680;1757.4;8906556;0
ЛУКОЙЛ;W;20110530;000000;1761.7;1899;1743.2;1744.5;10921694;0
ЛУКОЙЛ;W;20110606;000000;1750;1809;1723.3;1785.1;9653782;0
ЛУКОЙЛ;W;20110613;000000;1798.5;1799.6;1738.1;1740;7346141;0
ЛУКОЙЛ;W;20110620;000000;1734.8;1767.6;1711.5;1745.9;7536636;0
ЛУКОЙЛ;W;20110627;000000;1735;1800.9;1720;1793;7632402;0
ЛУКОЙЛ;W;20110704;000000;1799.9;1860;1781;1827.1;7036826;0
ЛУКОЙЛ;W;20110711;000000;1823;1848.8;1785.1;1838.1;9006597;0
ЛУКОЙЛ;W;20110718;000000;1838.1;1880;1805;1875;7919195;0
ЛУКОЙЛ;W;20110725;000000;1861;1925.1;1825;1848;6597229;0
ЛУКОЙЛ;W;20110801;000000;1872;1887.5;1675;1710.1;12273395;0
ЛУКОЙЛ;W;20110808;000000;1663.1;1712.5;1505.1;1619.7;19710114;0
ЛУКОЙЛ;W;20110815;000000;1639.9;1667.9;1568;1630;11846156;0
ЛУКОЙЛ;W;20110822;000000;1608.8;1704;1600.2;1680;10860207;0
ЛУКОЙЛ;W;20110829;000000;1697.5;1749;1696.4;1706.5;10426516;0
ЛУКОЙЛ;W;20110905;000000;1694.9;1776.5;1685;1727;10261659;0
ЛУКОЙЛ;W;20110912;000000;1699.5;1782.4;1681.3;1725.3;13834898;0
ЛУКОЙЛ;W;20110919;000000;1716.3;1781.4;1500.1;1537.1;16927433;0
ЛУКОЙЛ;W;20110926;000000;1510;1672;1500;1637.6;15675791;0
ЛУКОЙЛ;W;20111003;000000;1601.6;1647.8;1517;1618.7;14424994;0
ЛУКОЙЛ;W;20111010;000000;1631.6;1712.2;1605;1712;12087605;0
ЛУКОЙЛ;W;20111017;000000;1720.5;1746.9;1649.7;1746;12585722;0
ЛУКОЙЛ;W;20111024;000000;1750;1804;1734.2;1761;12841522;0
ЛУКОЙЛ;W;20111031;000000;1747.8;1771.7;1717.5;1766;9169822;0
ЛУКОЙЛ;W;20111107;000000;1772.5;1818.5;1726.3;1735.3;12903864;0
ЛУКОЙЛ;W;20111114;000000;1754.5;1762;1696.1;1713.9;11455001;0
ЛУКОЙЛ;W;20111121;000000;1700.1;1701.7;1565.8;1639.5;10371493;0
ЛУКОЙЛ;W;20111128;000000;1665;1749;1650.9;1704;12116309;0
ЛУКОЙЛ;W;20111205;000000;1713.2;1737;1593.1;1613.4;12746149;0
ЛУКОЙЛ;W;20111212;000000;1624;1648;1569.7;1610;12799937;0
ЛУКОЙЛ;W;20111219;000000;1600.7;1667;1591.6;1641.1;7760663;0
ЛУКОЙЛ;W;20111226;000000;1647.4;1710;1632;1701;4805762;0
ЛУКОЙЛ;W;20120102;000000;1711.6;1747;1711;1738.4;3351772;0
ЛУКОЙЛ;W;20120109;000000;1732.2;1797;1726;1751.2;6747938;0
ЛУКОЙЛ;W;20120116;000000;1743.3;1824.7;1730.6;1806;7050726;0
ЛУКОЙЛ;W;20120123;000000;1806.1;1815.8;1761.3;1765;8186346;0
ЛУКОЙЛ;W;20120130;000000;1756.3;1815.2;1756.3;1814.9;8375420;0
ЛУКОЙЛ;W;20120206;000000;1814.4;1830;1788.4;1810.6;8226324;0
ЛУКОЙЛ;W;20120213;000000;1820;1889;1817.8;1875.1;7929223;0
