<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Система ао;W;20100111;000000;25.495;29.1;25.098;28.48;10626600;0
Система ао;W;20100118;000000;28.4;28.948;25.811;26.5;6685000;0
Система ао;W;20100125;000000;26.173;27.68;25.001;27.2;7227400;0
Система ао;W;20100201;000000;27.06;27.49;24.252;24.942;5775100;0
Система ао;W;20100208;000000;25.181;26.46;24.25;25.2;5375400;0
Система ао;W;20100215;000000;25.67;27.512;25.1;26.257;2791800;0
Система ао;W;20100222;000000;26.4;27.28;25.704;26.95;825900;0
Система ао;W;20100301;000000;27.047;27.99;26.751;27.899;1830900;0
Система ао;W;20100308;000000;28;28.351;27.015;28.037;2481500;0
Система ао;W;20100315;000000;27.86;28.989;27.79;28.3;6557100;0
Система ао;W;20100322;000000;28.399;31.1;27.357;30.4;11011600;0
Система ао;W;20100329;000000;30.6;31.27;29.777;30.297;4371800;0
Система ао;W;20100405;000000;30.151;30.556;29.681;30.44;3612900;0
Система ао;W;20100412;000000;30.658;35.86;30.1;31;6718200;0
Система ао;W;20100419;000000;30.347;32.348;29;30.63;8972300;0
Система ао;W;20100426;000000;30.995;31.989;29.5;30.23;7337300;0
Система ао;W;20100503;000000;30.25;30.5;25.7;25.76;4732300;0
Система ао;W;20100510;000000;28;29.4;26.9;27.33;6442400;0
Система ао;W;20100517;000000;26.75;27.777;24.603;25.9;5397300;0
Система ао;W;20100524;000000;26.5;28.002;24.675;27.894;3658000;0
Система ао;W;20100531;000000;27.997;28.99;26.62;27.105;2179100;0
Система ао;W;20100607;000000;26.45;27.687;26.01;27.03;1605900;0
Система ао;W;20100614;000000;27.5;28.929;27.372;28.2;2028500;0
Система ао;W;20100621;000000;28.503;29.17;27;27.415;2620800;0
Система ао;W;20100628;000000;27.689;27.839;25.189;26.588;2526500;0
Система ао;W;20100705;000000;26.5;27.1;25.722;26.797;1992300;0
Система ао;W;20100712;000000;26.49;28.502;26.147;27.001;1879300;0
Система ао;W;20100719;000000;26.8;27.1;26;26.04;2919600;0
Система ао;W;20100726;000000;26.168;27.45;25.687;26.178;3657400;0
Система ао;W;20100802;000000;26.379;28.12;26.151;27.7;7706000;0
Система ао;W;20100809;000000;27.949;28;26.649;26.869;2349900;0
Система ао;W;20100816;000000;27.003;27.49;26.403;26.55;1803000;0
Система ао;W;20100823;000000;26.6;26.75;25.572;25.69;3045200;0
Система ао;W;20100830;000000;25.999;26.9;25.8;26.5;4693900;0
Система ао;W;20100906;000000;26.893;27.2;26.2;26.639;4368200;0
Система ао;W;20100913;000000;26.913;27.298;26.018;26.5;3331700;0
