<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИК ао;D;20210830;000000;1335;1433.8;1315.5;1365.8;1663184;0
ПИК ао;D;20210831;000000;1368.5;1368.9;1331.2;1344.7;348491;0
ПИК ао;D;20210901;000000;1354;1372;1339.4;1370.4;284767;0
ПИК ао;D;20210902;000000;1375;1392;1360.6;1383;381229;0
ПИК ао;D;20210903;000000;1390;1400;1380.2;1388.5;333563;0
ПИК ао;D;20210906;000000;1393;1419.8;1389.5;1414.4;459061;0
ПИК ао;D;20210907;000000;1419;1460;1415;1455;690985;0
ПИК ао;D;20210908;000000;1444;1457.9;1427.1;1442.9;456306;0
ПИК ао;D;20210909;000000;1448.6;1452;1430.6;1436.3;302937;0
ПИК ао;D;20210910;000000;1440;1452;1434.1;1446.1;350965;0
ПИК ао;D;20210913;000000;1445.7;1464.3;1441.7;1448.5;595157;0
ПИК ао;D;20210914;000000;1449.2;1459;1441.7;1454.4;664546;0
ПИК ао;D;20210915;000000;1450;1465;1445.3;1459;404616;0
ПИК ао;D;20210916;000000;1464.9;1471.2;1442.5;1460.4;628861;0
ПИК ао;D;20210917;000000;1465.3;1500;1453.7;1484.8;1050203;0
ПИК ао;D;20210920;000000;1485;1491;1430;1445.2;697103;0
ПИК ао;D;20210921;000000;1465;1509.6;1450;1496.8;713803;0
ПИК ао;D;20210922;000000;1499;1503.9;1490.1;1500;481816;0
ПИК ао;D;20210923;000000;1500;1505;1470.6;1482.8;541327;0
ПИК ао;D;20210924;000000;1488.9;1488.9;1430;1444;747515;0
ПИК ао;D;20210927;000000;1420.1;1454.9;1399;1424.4;932832;0
ПИК ао;D;20210928;000000;1420;1420.4;1398.5;1415;1000276;0
ПИК ао;D;20210929;000000;1400;1418.5;1369.9;1407;2372873;0
ПИК ао;D;20210930;000000;1415.2;1448.4;1395.2;1430;2220037;0
ПИК ао;D;20211001;000000;1340;1349;1249.5;1278;5122776;0
ПИК ао;D;20211004;000000;1278;1278;1208;1229.8;2582908;0
ПИК ао;D;20211005;000000;1228.9;1237.9;1101.1;1203;6868720;0
ПИК ао;D;20211006;000000;1202.4;1288.9;1175.9;1280;4656327;0
ПИК ао;D;20211007;000000;1281.8;1310;1275;1304.9;2089056;0
ПИК ао;D;20211008;000000;1305;1315;1259.3;1312.5;3155795;0
ПИК ао;D;20211011;000000;1312.5;1336.4;1285;1331;1749721;0
ПИК ао;D;20211012;000000;1331;1336.6;1310.2;1313;674592;0
ПИК ао;D;20211013;000000;1319.9;1327.1;1285;1292.1;703798;0
ПИК ао;D;20211014;000000;1295;1306.1;1211.2;1269.4;2480640;0
ПИК ао;D;20211015;000000;1252.1;1278.9;1217;1275;1498328;0
ПИК ао;D;20211018;000000;1280;1334;1252;1266;3845531;0
ПИК ао;D;20211019;000000;1265;1280;1220.5;1235;1491335;0
ПИК ао;D;20211020;000000;1236.1;1236.1;1177;1195;1627541;0
ПИК ао;D;20211021;000000;1191;1204;1160;1161.2;1049910;0
ПИК ао;D;20211022;000000;1162.5;1209.7;1160;1197;1057579;0
ПИК ао;D;20211025;000000;1197;1209.5;1146.4;1162.9;996511;0
ПИК ао;D;20211026;000000;1162;1162;1121;1148;639324;0
ПИК ао;D;20211027;000000;1148;1165;1137.1;1152.1;418133;0
ПИК ао;D;20211028;000000;1150;1160;1143;1156;275045;0
ПИК ао;D;20211029;000000;1156;1196;1154;1177;485455;0
ПИК ао;D;20211101;000000;1177;1189.7;1140.2;1147.8;969837;0
ПИК ао;D;20211102;000000;1147;1150.1;1126;1127.5;600639;0
ПИК ао;D;20211103;000000;1130;1151;1100;1133.1;1263145;0
ПИК ао;D;20211105;000000;1133.1;1148.7;1110.2;1114.6;306189;0
ПИК ао;D;20211108;000000;1114.6;1137.1;1100.1;1104;575779;0
ПИК ао;D;20211109;000000;1101.1;1178.8;1100;1163.6;995969;0
ПИК ао;D;20211110;000000;1165;1193.5;1115.5;1124.1;838919;0
ПИК ао;D;20211111;000000;1125.2;1128.2;1105;1118;443421;0
ПИК ао;D;20211112;000000;1118;1128;1026;1102.2;932481;0
ПИК ао;D;20211115;000000;1101.1;1139.6;1100.2;1116.6;494901;0
ПИК ао;D;20211116;000000;1121;1121;1100;1102.1;274553;0
ПИК ао;D;20211117;000000;1100;1117;1095;1100.2;416756;0
ПИК ао;D;20211118;000000;1100;1117;1100;1101.2;319461;0
ПИК ао;D;20211119;000000;1100.7;1112.7;1051;1100.9;955333;0
ПИК ао;D;20211122;000000;1100;1115.6;1072.2;1107.7;748489;0
ПИК ао;D;20211123;000000;1108.9;1108.9;1065;1080.9;1733880;0
ПИК ао;D;20211124;000000;1080;1105;1065;1102.1;494495;0
ПИК ао;D;20211125;000000;1102.1;1135;1102.1;1115.5;360971;0
ПИК ао;D;20211126;000000;1110;1115;1075;1082.2;444247;0
ПИК ао;D;20211129;000000;1099;1105.3;1080;1086.9;418642;0
ПИК ао;D;20211130;000000;1085;1089.4;1075;1081.9;320703;0
ПИК ао;D;20211201;000000;1081.4;1099;1075.8;1083.9;189151;0
ПИК ао;D;20211202;000000;1083.9;1089.6;1075;1080.8;259242;0
ПИК ао;D;20211203;000000;1081.5;1117.4;1077;1117;664004;0
ПИК ао;D;20211206;000000;1117;1125;1089.5;1106.8;276678;0
ПИК ао;D;20211207;000000;1100.2;1118.6;1090;1106.1;522716;0
ПИК ао;D;20211208;000000;1109;1150;1100.9;1141.5;536148;0
ПИК ао;D;20211209;000000;1141.4;1190;1138.5;1186.4;771158;0
ПИК ао;D;20211210;000000;1180.4;1197.4;1155.4;1176.3;459473;0
ПИК ао;D;20211213;000000;1180;1185;1100.1;1158.7;760590;0
ПИК ао;D;20211214;000000;1151.2;1151.2;1087;1112;1146629;0
ПИК ао;D;20211215;000000;1118.8;1205;1070;1086;549772;0
ПИК ао;D;20211216;000000;1092.3;1103.3;1070.2;1081;724450;0
ПИК ао;D;20211217;000000;1085.1;1085.1;1060;1067.3;394700;0
ПИК ао;D;20211220;000000;1070;1070;1030;1030.2;529274;0
ПИК ао;D;20211221;000000;1040;1041.8;1010;1012.9;460009;0
ПИК ао;D;20211222;000000;1013;1040;1010;1019.2;371058;0
ПИК ао;D;20211223;000000;1023;1029.5;1011;1013.4;299674;0
ПИК ао;D;20211224;000000;1013.4;1026;1001;1002.6;268033;0
ПИК ао;D;20211227;000000;1002.6;1030;1000;1029.4;674934;0
ПИК ао;D;20211228;000000;1029.5;1045.9;1020;1043;550077;0
ПИК ао;D;20211229;000000;1046.1;1086;1040;1085;446268;0
ПИК ао;D;20211230;000000;1085;1120;1077.5;1102.4;653355;0
ПИК ао;D;20220103;000000;1102.4;1159.6;1102.4;1155.7;454596;0
ПИК ао;D;20220104;000000;1158.6;1198;1151.3;1171;531057;0
ПИК ао;D;20220105;000000;1179;1187.5;1132.2;1150;495849;0
ПИК ао;D;20220106;000000;1145;1169.9;1135;1142.3;308028;0
ПИК ао;D;20220110;000000;1149;1238.8;1130;1210.1;1146520;0
ПИК ао;D;20220111;000000;1216;1260;1210.1;1254;903856;0
ПИК ао;D;20220112;000000;1254;1269.2;1225.1;1263;570708;0
ПИК ао;D;20220113;000000;1265;1268;1193;1229.9;662252;0
ПИК ао;D;20220114;000000;1235.9;1245;1170.1;1223.8;975603;0
ПИК ао;D;20220117;000000;1233;1249.9;1186;1217;657567;0
ПИК ао;D;20220118;000000;1224;1226.3;1151;1174.7;579597;0
ПИК ао;D;20220119;000000;1190;1197.8;1111;1128.4;878471;0
ПИК ао;D;20220120;000000;1128;1144;1092.1;1119.3;674721;0
ПИК ао;D;20220121;000000;1111;1118.7;1046.6;1071.5;677395;0
ПИК ао;D;20220124;000000;1071;1071;1004.4;1039.6;1105655;0
ПИК ао;D;20220125;000000;1030.1;1047.9;880.1;961.1;2671960;0
ПИК ао;D;20220126;000000;963;969.9;882.1;890;2331195;0
ПИК ао;D;20220127;000000;888;945;830;906.8;2428460;0
ПИК ао;D;20220128;000000;916;940;895;910.8;763538;0
ПИК ао;D;20220131;000000;919;988;904;971.5;1716384;0
ПИК ао;D;20220201;000000;969.1;1030;964;979;964688;0
ПИК ао;D;20220202;000000;985;1000;970;978.8;390487;0
ПИК ао;D;20220203;000000;975;990;930;937.1;588397;0
ПИК ао;D;20220204;000000;944;967.4;916.1;945;422411;0
ПИК ао;D;20220207;000000;949;972.6;901.2;919.2;594459;0
ПИК ао;D;20220208;000000;919.8;923;891;907.5;675295;0
ПИК ао;D;20220209;000000;906;946.4;905;940.5;612241;0
ПИК ао;D;20220210;000000;941.5;962;907.2;936.7;1005181;0
ПИК ао;D;20220211;000000;937;950;915;930;697029;0
ПИК ао;D;20220214;000000;930;939;880;903;1148890;0
ПИК ао;D;20220215;000000;904;954.9;892.6;942.5;758382;0
ПИК ао;D;20220216;000000;948.9;968.8;940;948;629428;0
ПИК ао;D;20220217;000000;948;954.6;889;907.5;684250;0
ПИК ао;D;20220218;000000;913;929.6;853.3;880.5;968729;0
